Seed,x1,y1,x2,y2,x3,y3,x4,y4,RoomHeight,WindowWidth,WindowHeight,WindowOrientation
1,-0.527714,-7.109235,7.015081,-1.268206,2.644516,6.620139,-6.963455,1.526437,3.977986,0.423362,0.794236,142.246331
2,-2.18545,8.245618,-7.58321,-3.906574,5.84653,-6.211642,8.443733,-1.212344,4.932242,0.893295,0.339514,293.949835
3,-1.816835,-6.032613,5.906006,-2.193717,2.070175,5.950435,-5.439029,-3.179664,2.612324,0.473454,0.275101,153.568796
4,5.976135,2.273599,0.45668,6.377687,-6.308283,1.043555,-0.471048,-6.376641,4.771164,0.910455,0.792188,36.633296
5,4.745379,6.878263,-8.334696,-0.601635,-2.482803,-7.979023,7.519925,-3.644152,2.136205,0.917304,0.50893,330.236729
6,-0.313002,7.695427,-7.192188,-2.754995,6.305209,-4.422885,6.771226,3.669887,2.133856,0.784489,0.729278,303.355659
7,-1.33122,7.221626,-7.309458,-0.704166,-0.795352,-7.300099,6.6568,-3.100168,2.071464,0.564949,0.479951,307.026386
8,5.655267,-5.365489,3.330562,7.048253,-6.868016,-3.687936,-1.247416,-7.695093,2.72542,0.924968,0.303828,79.393147
9,-5.817038,-1.413159,-1.916523,-5.671145,5.962148,-0.536406,-1.496807,5.796077,3.48048,0.589656,0.536793,227.508858
10,1.031252,4.130164,-2.969671,3.050047,-3.95624,-1.571591,1.919505,-3.799636,3.132737,0.895109,0.869018,344.892189
11,4.733757,3.889617,-3.325922,5.145465,-6.12679,0.003326,3.176207,-5.239206,3.460364,0.469089,0.456261,8.856533
12,0.179961,-4.751339,3.573645,-3.136347,0.919926,4.664906,-4.040694,2.506072,4.503069,0.908489,0.820914,154.551081
13,-8.199692,-3.298067,7.805829,-4.145024,-0.615268,8.816668,-7.524738,4.635786,3.099993,0.686656,0.888753,183.029072
14,7.256079,-6.217565,1.643888,9.413099,-9.180798,2.64986,-6.296427,-7.187754,4.292558,0.50626,0.647209,70.249321
15,1.979711,8.757699,-8.968957,-0.417558,-7.441659,-5.023769,7.255846,-5.288596,4.13141,0.724988,0.45004,320.036152
16,-3.684883,-6.149905,5.367894,-4.752411,1.931307,6.904328,-6.988842,1.59868,4.470533,0.230777,0.587708,171.224425
17,6.00794,-1.148073,2.345898,5.648909,-4.440227,4.206875,0.977705,-6.038005,4.700979,0.263441,0.824969,61.685339
18,-4.892587,-1.306182,0.119995,-5.062521,2.967945,4.103026,-3.129139,3.981458,4.134298,0.234445,0.407529,216.847236
19,7.857269,0.586893,-2.171475,7.574023,-7.751085,1.414852,-4.463432,-6.492988,4.31096,0.702841,0.534921,34.865325
20,-6.502021,-0.407309,0.134055,-6.513387,6.511888,0.193638,-1.740961,6.277837,4.50293,0.94326,0.414295,222.618203
21,8.360755,-1.931783,0.181482,8.579107,-5.580542,6.518555,-4.600087,-7.24384,4.981302,0.4173,0.673175,52.110969
22,-0.652517,-9.156527,7.622753,5.114821,-0.772355,9.147198,-7.485336,-5.313897,2.829577,0.368855,0.740434,120.10739
23,-4.303941,-5.860044,6.774576,-2.639913,0.403494,7.259561,-6.006974,4.096376,3.830171,0.435157,0.227696,163.792733
24,4.337011,5.826073,-6.809749,2.525887,-5.973424,-4.131705,6.032532,-4.044916,3.248182,0.538841,0.321156,343.507728
25,-1.17419,-6.098393,5.739632,-2.371867,2.402687,5.726798,-5.926815,-1.855258,2.6815,0.246962,0.592056,151.675468
26,-0.992388,-5.760675,4.567019,-3.648637,4.104135,4.162486,-5.658287,1.467652,2.557724,0.703815,0.79071,159.198046
27,3.991113,4.493184,-2.441084,5.491702,-5.72269,-1.835348,0.972488,-5.930595,2.813495,0.647008,0.864123,8.824022
28,4.786338,4.556699,-4.351178,4.97391,-3.074632,-5.849716,5.944866,-2.886366,3.66177,0.893143,0.539563,2.614259
29,-5.107481,1.897288,-4.700686,-2.754925,4.44802,-3.146614,2.943618,4.584886,2.123038,0.420163,0.645336,265.002715
30,0.409504,6.017711,-5.972419,-0.843059,-1.494006,-5.84367,3.661234,-4.793319,2.44909,0.857675,0.342395,312.929129
31,2.934435,4.022281,-2.640072,4.221336,-3.132861,-3.869733,3.287436,-3.739307,4.882408,0.532158,0.517996,2.04505
32,1.042513,4.04458,-1.604429,3.856328,-3.112535,-2.785244,2.232383,-3.530146,4.725392,0.214298,0.943143,355.93196
33,-5.086184,2.102361,-4.913936,-2.47839,2.964628,-4.636827,3.41564,4.31539,2.756381,0.853813,0.807441,267.846554
34,7.365743,3.854518,-7.593591,3.383615,-4.116248,-7.222741,4.316413,-7.104932,3.407616,0.946845,0.717324,358.196992
35,-8.993467,-3.471223,7.909428,-5.511152,7.491907,6.066562,-7.038137,6.5876,3.668458,0.444541,0.223441,186.88147
36,-7.90213,-1.307548,3.144248,-7.366617,6.190368,5.082587,-1.909293,7.778685,3.717545,0.473865,0.823097,208.745294
37,9.4684,-1.616088,-1.829585,9.429473,-8.866146,3.695102,-0.48075,-9.59329,3.419331,0.746731,0.666962,44.352733
38,-8.955946,0.483745,1.759838,-8.794655,8.815734,-1.651005,1.034885,8.909096,4.591144,0.238711,0.438673,220.888066
39,2.925774,6.846864,-7.368575,1.069489,2.957008,-6.833432,7.330842,1.30325,2.196345,0.22296,0.908876,330.69807
40,7.30445,3.051675,-2.195553,7.605738,-7.455191,-2.6623,4.958425,-6.17104,4.024462,0.663193,0.868472,25.611895
41,-2.584168,-8.325038,8.498878,-1.937335,3.156364,8.125365,-8.156467,3.075098,3.108421,0.205508,0.524158,150.043037
42,0.354176,6.854443,-6.292537,-2.740948,-0.144872,-6.862058,6.646617,-1.712105,3.457781,0.242379,0.747553,304.710288
43,-3.174317,-7.841179,8.013099,-2.711204,2.273977,8.14797,-8.43659,0.61994,4.091248,0.252361,0.949598,155.36624
44,3.755161,-3.301543,4.984875,0.390436,-1.12471,4.872007,-3.988462,-3.015558,2.555942,0.583107,0.267537,108.421743
45,-4.135638,-6.144482,7.267659,1.42804,1.994719,7.13297,-5.361438,5.110102,4.95729,0.581546,0.828679,146.413286
46,0.591516,-4.174702,3.286445,-2.64146,1.071816,4.077897,-3.562319,2.255641,2.608524,0.87386,0.285083,150.36289
47,-1.864566,9.221533,-7.994646,-4.959729,0.194125,-9.406146,8.589881,3.837607,4.375301,0.327049,0.563958,293.377191
48,3.670539,5.170416,-2.800738,5.688755,-4.880517,-4.048039,4.691987,-4.265128,3.520808,0.734348,0.522051,4.57952
49,7.664273,3.327512,-6.385656,5.388582,-2.711002,-7.90341,5.00198,-6.692803,3.808619,0.751532,0.443039,8.345541
50,-1.084552,7.534272,-7.250407,-2.317998,5.659225,-5.090647,7.244458,2.336524,4.432884,0.716895,0.853696,302.039599
51,5.727245,-4.53085,0.310017,7.296152,-5.508548,4.794355,-2.968799,-6.672044,3.376489,0.817833,0.680301,65.390371
52,-0.435755,7.341458,-7.199619,-1.500791,6.241377,-3.889999,5.58671,4.782839,4.618583,0.21303,0.268193,307.414125
53,-1.446384,6.898132,-6.531339,-2.649125,6.619392,-2.420722,4.351361,5.544538,4.47896,0.46599,0.581294,298.040169
54,6.614094,1.291154,-1.269788,6.61823,-5.513827,3.874408,-3.85711,-5.525941,4.085141,0.664168,0.374261,34.046578
55,-5.990363,-0.24647,-1.488325,-5.80776,3.951223,-4.509216,4.270959,4.207624,3.912279,0.532292,0.818555,231.008757
56,1.002886,-9.501373,8.778989,3.769778,-3.632586,8.836639,-9.354184,-1.944508,4.642995,0.836043,0.59695,120.36776
57,4.239753,3.705085,-2.667069,4.95882,-5.493646,-1.234106,3.824179,-4.132653,3.407312,0.630965,0.258522,10.288385
58,-7.268392,-2.370475,2.047972,-7.365764,5.93502,-4.819149,1.121967,7.562398,3.059527,0.711749,0.834212,208.199517
59,-6.655803,-7.148199,8.970661,-3.86312,1.89852,9.580818,-6.807068,7.004304,2.886664,0.221693,0.528507,168.127852
60,-4.761902,4.559046,-4.701781,-4.621024,4.109068,-5.155208,6.470522,1.26212,2.492845,0.386232,0.713293,269.624773
61,8.027786,3.3905,-6.476687,5.830382,-8.419694,-2.247128,2.596325,-8.31865,2.319982,0.550878,0.407588,9.548661
62,2.647711,-7.003505,7.320109,1.573361,-2.167588,7.16666,-7.487283,0.007359,3.24633,0.946147,0.21752,118.580114
63,-3.170426,-7.298967,7.956118,-0.16345,-4.575774,6.510669,-7.935494,0.595359,2.074448,0.63638,0.473637,147.327709
64,-5.411918,-3.480655,2.568938,-5.899522,5.989553,-2.351395,-0.564548,6.409766,2.679648,0.262449,0.2555,196.861206
65,-5.522316,0.080522,-2.325805,-5.009301,4.649448,2.980788,-1.257449,5.377851,2.492914,0.841137,0.789559,237.870348
66,6.893164,-0.405642,-3.197962,6.11991,-6.862416,-0.766491,2.217279,-6.539414,4.507766,0.310863,0.511617,32.889231
67,8.327419,-0.589501,-4.134259,7.252676,-6.6068,-5.103293,1.162357,-8.266943,3.531819,0.742793,0.319643,32.182351
68,-2.845112,5.413087,-5.20218,-3.214576,4.564591,-4.069482,5.418914,2.833999,3.237502,0.635548,0.677472,285.280264
69,8.204427,1.205931,-3.717864,7.412447,-8.222508,-1.075757,-5.229325,-6.435918,2.615778,0.285107,0.884229,27.500623
70,5.365297,5.09133,-7.246755,1.48074,-3.022131,-6.750909,6.870901,-2.738388,3.968053,0.767717,0.447387,344.024593
71,-4.425137,-2.660753,2.559083,-4.484701,4.741448,2.044532,-3.556289,3.743562,4.089673,0.853008,0.447035,194.636057
72,0.262648,-4.198051,2.924086,-3.02363,0.989864,4.088128,-4.167747,0.567891,4.238096,0.860749,0.620154,156.189407
73,6.621246,-2.928286,3.590199,6.286989,-6.799279,2.48708,-5.208965,-5.028166,3.616372,0.614292,0.371491,71.79316
74,7.161518,4.305105,-4.621682,6.961417,-4.652152,-6.941091,7.328979,-4.013393,2.638781,0.236041,0.518383,12.703956
75,7.279449,-3.659764,1.70787,7.966645,-7.990573,1.592167,2.711325,-7.683291,4.29941,0.879956,0.23353,64.395439
76,-3.897262,-5.612225,5.596102,-3.920377,5.913596,3.422734,-2.203897,6.4675,3.243981,0.709349,0.533166,169.895196
77,7.293934,-5.36674,2.644913,8.660705,-7.464103,5.127429,-5.125307,-7.46556,4.489971,0.474435,0.283588,71.663603
78,3.825918,-8.850959,6.116055,7.454596,-8.769717,4.008641,-4.89959,-8.304887,3.132833,0.609844,0.250513,97.99497
79,7.458652,-4.568104,3.086917,8.18352,-8.212783,3.008197,-0.972555,-8.692134,2.282237,0.734272,0.269091,71.076362
80,2.400341,4.35107,-3.073195,3.904986,1.830802,-4.619698,4.866022,-1.007606,4.960951,0.300077,0.601927,355.340782
81,-3.962985,5.947141,-6.988747,-1.493703,1.345985,-7.018694,6.35985,3.259761,3.92329,0.898918,0.713386,292.128736
82,-7.000491,-4.977657,8.09754,-2.865972,6.953083,5.043668,-8.394102,1.822907,2.566152,0.939029,0.784296,172.037979
83,-1.285688,3.8062,-3.871076,1.074675,2.986346,-2.687358,2.46234,3.174435,3.829909,0.325,0.337853,313.425601
84,-8.954257,1.38193,4.47378,-7.87869,9.056993,-0.243596,0.961592,9.009095,4.394269,0.629262,0.38571,214.592012
85,2.873852,5.373674,-5.313369,2.983874,-5.232662,-3.123243,1.679221,-5.857953,3.356608,0.933523,0.295946,343.727797
86,7.407266,6.509153,-9.841227,-0.622026,-6.692618,-7.241928,3.194528,-9.329075,3.478228,0.921576,0.295594,337.537947
87,-9.19868,-3.261971,6.834573,-6.967408,6.774863,7.025482,-2.513046,9.430842,3.24546,0.867657,0.405111,193.013127
88,6.615124,6.890174,-9.540137,0.46919,-4.33816,-8.509684,7.499934,-5.914842,3.084409,0.727934,0.838561,338.324425
89,5.763389,-0.358747,2.020541,5.409508,-5.594978,1.428838,1.387597,-5.605349,4.330399,0.747218,0.781519,57.02166
90,-2.76811,-3.358538,1.315146,-4.148807,4.352132,-0.033997,0.883674,4.261611,2.938515,0.628429,0.589545,190.953547
91,6.453981,-1.240861,2.517593,6.070859,-6.477439,1.111929,0.877426,-6.51335,2.363032,0.696914,0.404189,61.703458
92,6.276804,-6.160748,5.172578,7.113194,-8.14666,3.314366,0.209743,-8.792559,3.609022,0.716198,0.249908,85.244657
93,4.032379,-5.774033,6.21596,3.310798,-4.722871,5.224369,-6.680726,-2.228776,4.19115,0.840626,0.268487,103.514943
94,4.508342,3.356176,-1.805678,5.322461,-5.438604,-1.417976,5.181503,-2.177405,3.215203,0.522556,0.826513,17.29741
95,-3.529458,-8.814342,9.474986,0.611831,3.686056,8.750011,-9.479492,0.537518,2.460212,0.363491,0.207649,144.063805
96,5.571815,-6.468686,5.689596,6.365337,-8.230721,2.268093,-7.998229,-2.986192,3.405764,0.212333,0.221869,90.525791
97,0.759567,7.495708,-7.453789,1.097089,1.325125,-7.416645,7.13062,-2.432455,4.067374,0.642777,0.204257,322.079609
98,8.042401,5.524333,-9.60313,1.725792,-8.810096,-4.192931,4.90894,-8.432128,2.694555,0.863284,0.897216,347.851373
99,-7.475391,1.289165,-0.666415,-7.556408,7.49623,1.161875,3.227964,6.864667,2.690659,0.429793,0.741432,232.412328
100,3.645745,6.536877,-7.091913,2.393115,-4.530342,-5.958038,4.15396,-6.226302,2.839082,0.278635,0.259849,338.897934
101,2.060023,-3.951942,4.278188,-1.248461,0.959823,4.352044,-4.325941,1.071343,2.97847,0.805157,0.463138,129.368347
102,-0.951615,9.451632,-5.952557,-7.403106,1.579667,-9.367153,8.3877,4.459305,2.745702,0.359419,0.572655,286.526062
103,5.671318,-3.242937,2.466874,6.049382,-2.806854,5.899327,-5.142981,-4.028676,2.123977,0.758978,0.228694,70.973307
104,-8.174301,-3.137944,6.632997,-5.715702,8.302597,2.780787,-5.5576,6.766016,3.369967,0.882246,0.26695,189.875476
105,6.675025,2.179845,-2.737914,6.466182,-4.360409,-5.504046,3.372813,-6.158881,2.736735,0.928888,0.53069,24.48293
106,6.073726,0.797444,0.753103,6.079383,-6.112943,-0.397473,0.583927,-6.097958,3.318863,0.661498,0.748551,44.790954
107,-1.078889,-6.609828,6.663311,0.673878,4.150634,5.25605,-1.275137,6.574789,4.58262,0.246751,0.598629,136.747755
108,5.944806,4.392469,-3.272373,6.627675,-7.390352,-0.131126,3.432714,-6.546065,3.146,0.372665,0.801027,13.631332
109,-6.718169,0.016696,1.697973,-6.500074,6.114635,-2.783039,2.2211,6.340409,4.063451,0.360611,0.636463,217.751259
110,6.665575,-5.959259,1.119967,8.870644,-7.324528,5.127762,-3.048124,-8.40545,4.92825,0.771713,0.579421,69.496832
111,4.385816,-5.69579,3.897179,6.040646,-2.723038,6.653005,-6.535929,2.993165,4.077653,0.504322,0.237878,87.615915
112,1.45238,-4.738078,4.637466,-1.747197,4.682229,1.623429,-4.669184,1.660575,4.580464,0.301779,0.595707,136.801096
113,-4.850757,0.196737,-2.958543,-3.8491,4.748214,-1.011442,3.878257,2.920217,4.728888,0.796637,0.802463,244.934791
114,5.967168,-6.30843,1.843047,8.485668,-7.806627,3.802625,0.537083,-8.666886,2.106183,0.92255,0.551382,74.423232
115,5.801264,1.950573,-1.465685,5.942319,-5.550927,-2.578102,4.477635,-4.172551,4.556025,0.666703,0.496758,28.780061
116,-6.974801,-7.030012,9.872384,-0.777797,3.872062,9.114607,-5.514519,8.225509,4.013783,0.368081,0.37949,159.639436
117,4.596551,0.076702,2.783924,3.658406,-4.576651,-0.434088,-1.742389,-4.254203,2.577163,0.650953,0.774424,63.156956
