Seed,x1,y1,x2,y2,x3,y3,x4,y4,RoomHeight,WindowWidth,WindowHeight,WindowOrientation
1,-2.297686,-5.342502,4.977144,-3.008276,3.588984,4.576121,-5.156704,2.688883,3.200022,0.290371,0.673939,250.405252
2,4.111471,-2.254567,0.254524,4.682145,-2.997495,3.605868,0.034785,-4.688929,2.815004,0.623839,0.783356,149.156784
3,-5.004637,3.18035,-3.619538,-4.696803,4.004842,-4.3729,4.067384,4.314789,2.986057,0.370675,0.882868,352.872269
4,-6.134402,1.8593,-0.999042,-6.331651,6.405751,-0.232888,0.871476,6.350466,3.284257,0.504505,0.225648,327.337821
5,-3.648827,5.177365,-5.74695,-2.663009,-1.582648,-6.133048,5.900965,2.301667,3.455897,0.48775,0.717524,16.758457
6,-4.783327,-0.435247,0.428503,-4.783936,4.019225,2.629732,-3.399736,3.392854,3.317401,0.704143,0.896987,289.871389
7,-2.776168,3.74664,-1.90531,-4.25608,3.44557,-3.142049,1.481462,4.421504,3.300829,0.397019,0.385921,350.993166
8,0.343179,5.272242,-4.983168,1.755661,1.456858,-5.07857,5.038324,-1.590472,2.899239,0.446154,0.239767,55.621915
9,4.094584,2.995769,-0.115716,5.072165,-4.47384,2.392698,2.796568,-4.233138,2.337441,0.214263,0.329097,100.179498
10,5.711756,-1.493183,1.390462,5.737627,-5.899426,-0.224763,-1.678258,-5.660141,2.688244,0.78987,0.451795,150.582943
11,5.615704,-0.398403,4.464541,3.429683,-2.792397,4.888494,-1.129605,-5.515328,2.273405,0.322524,0.584703,142.816398
12,2.613889,-5.136918,2.529267,5.179108,-2.048339,5.387454,-5.677837,-0.991222,2.481077,0.283463,0.629068,206.564129
13,-5.179461,2.951874,-2.976151,-5.165549,4.731376,-3.626908,1.626035,5.735537,3.466121,0.479858,0.22935,337.753882
14,-0.248664,4.289611,-4.256874,0.584481,2.686883,-3.353096,3.19255,2.875798,2.403591,0.440732,0.364448,22.335165
15,-4.404072,-4.804923,5.426628,-3.61038,0.4855,6.499802,-3.72007,5.352029,2.09268,0.88464,0.684238,273.85267
16,-4.235259,-4.674759,4.349656,-4.56851,5.460397,3.158299,-4.257304,4.654692,2.441723,0.811648,0.773568,269.86462
17,6.960931,-2.053823,2.905786,6.650501,-7.162139,-1.173252,-5.033531,-5.228414,3.248426,0.582461,0.919939,165.175369
18,-2.168532,-4.177948,4.626129,-0.869892,-0.102732,4.706084,-4.705207,0.137123,2.156565,0.806753,0.307624,239.550256
19,-5.788448,4.596521,-7.175145,-1.775228,2.726473,-6.870261,7.099183,2.05809,2.67246,0.742682,0.468502,11.142711
20,-3.961467,-2.669771,4.396379,-1.868891,3.342317,3.413183,-4.285539,2.110701,2.701791,0.930802,0.499552,266.121816
21,-5.032733,4.942193,-6.827938,-1.770013,-0.088652,-7.053072,6.692877,2.226899,3.170843,0.334461,0.948254,13.038151
22,5.149279,-4.113249,0.065405,6.590115,-6.132058,2.414902,-5.220518,-4.022448,2.220718,0.651844,0.516066,180.501684
23,1.880787,-3.575556,1.93066,3.548875,-4.036202,0.176175,-0.316087,-4.027661,3.345219,0.517955,0.757735,168.37119
24,-2.300702,-6.386537,1.606228,-6.595537,5.327318,4.207228,-5.982338,3.208226,2.02356,0.648956,0.317571,249.007532
25,-3.526679,-2.349982,0.34781,-4.223613,2.784009,3.19518,-3.662042,2.132917,2.431699,0.41977,0.654538,268.270469
26,-4.136762,-0.616858,2.981351,-2.933403,3.362169,2.487796,-3.632238,2.073682,2.435374,0.614721,0.684525,280.620632
